Subject,Number,Name,Description,Credit Hours
COM,2325,Public Relations Principles,An introductory course that serves as an overview of the technical elements and basic principles of public relations. It introduces the students to the concepts and activities that form the foundations of a professional practice. Prerequisite: must be an admitted public relations major or communication minor.,3
COM,2416,Video Production,"The course introduces students to the basic techniques of producing single camera video productions, and examines both the technical and analytical aspects of the production process. Students will produce content that falls within a variety of genres.  Areas covered include concept and storyline development, treatments, scripting, planning, camera techniques, lighting, sound, and editing.",3
COM,2500,Independent Study,,1-2
COM,2610,News Reporting and Writing,"Study of reporting and writing news for newspapers, magazines, and online media. Emphasis on techniques of gathering news, interviewing sources, and writing news stories.",3
COM,2612,Electronic Media Newswriting,"Study of newsgathering and newswriting for electronic media. Emphasis on techniques of interviewing, newsgathering, newswriting and preparing news stories for electronic media.",3
COM,2618,Introduction to Media Publishing,Introduction to the creation of printed communication. Students will be given the opportunity to learn to use current desktop publishing software to create publications typically found in the field of communication.,3
COM,2650,Selected Topics in Reporting,An opportunity to study a special topic or combination of topics not otherwise provided for in the communication curriculum. COM 2650 is reserved for 3 credit hour selected topics courses related to journalism / reporting.,3
COM,2700,Foundations of Advertising,"An introductory course that examines advertising as a form of communication. After a brief examination of history, role in the economy, external restraints and customer behavior, the course concentrates on theories and principles of media messages and management as well as advertising applications and trends.",3
COM,3010,Media Graphics,"A study and application of the creative and practical aspects of typography, layout and design of printed and electronic communication.",3
COM,3015,Advertising Graphics,"This course is intended to introduce students to the unique requirements inherent in the concepting, design and production of creative advertising messages. Students will learn creative processes to assist in developing effective strategies and creative concepts. Students will acquire and apply skills in the principles of design, layout and typography. All projects will incorporate a comprehensive research and process oriented approach.",3
COM,3100,Interviewing Methods,"A study of communication variables in interview situations, including elements of informational, persuasive, health care, research, appraisal, journalistic and selection (employment) interviews. Includes a focus on question development and formulation, legal and ethical implications of interviewing techniques, interviewing as a theoretical perspective, and simulation interviews.",3
COM,3110,Small Group Communication,"The theory and practice of small group communication, with emphasis upon the psychology of small group interaction, styles and methods of leadership, environments and small group interactions, and problem/solution methodologies in small group interactions. Students are provided the opportunity to apply theory in actual small group projects.",3
COM,3117,Environmental Communication,The course is designed to encourage students to think critically about the meanings of environmental communication and the roles it plays in their lives and throughout the world. Students will also examine the recent history and development of environmental communication as an area of intellectual inquiry.,3
COM,3118,Communicating Coal in Appalachia,"This course explores advanced theories and current issues within communication and rhetorical studies through the lens of coal’s relationship to the Appalachian region. Students will investigate this relationship through an examination of representations of the past and present, environmental degradation, lived experiences, and social movements within the Appalachian region. They will do so through an interdisciplinary engagement with relevant scholarly literatures, popular culture, and primary texts.",3
COM,3120,Rhetoric and Religious Discourse,The rhetorical analysis of religious themes in political and popular discourses.,3
COM,3130,Race & Diversity in Media,"This lecture and discussion course introduces students to the complexities of race, gender, and other intersectional identities as they are constructed and challenged through the consumption and production of mass media. The course will draw from various theoretical perspectives to consider how diverse populations have shaped and are shaped by media and society.",3
COM,3131,Health Communication in Interpersonal Settings,"Theory and practice of health communication in interpersonal contexts, including patient-provider communication, social support, and communication in illness.",3
COM,3132,Health and Mass Media,"A course exploring the mass communication contexts of health communication, including health news, advertising, campaigns, and information seeking. The course is appropriate for the future health care professional, health communication professional, and health communication graduate student, patient, or health care consumer.",3
COM,3150,Strategic Communication Writing,"This course provides an overview of the strategic communication writing across fields of study and practices including writing specific to nonprofit, governmental, political, and healthcare communication, as well as many professions including Public Relations, Advertising, and consulting. It focuses on professional standards of writing and requires students to develop writing skills that include research, planning, and evaluation.",3
COM,3151,Gender Communication,"This course explores the fluid and performative nature of gender and examines the role that communication plays in shaping our varying gendered identities and expectations. Study may include how gender affects and is affected by: history, science, relationships, sexuality, media, violence, power, ethics, and agency.",3
COM,3152,Communication in Organizations,"Examines communication within organizational structures; develops skill in language, observation and listening; teaches improved communications skill through interview and formal presentations. Oriented to the speech communication requirements of the contemporary business and professional community.",3
COM,3155,Persuasion,"This course explores the role of persuasion in public life. Students will learn to critically analyze and produce persuasive discourse in social, cultural, and democratic contexts in light of prevailing theories of social influence.",3
COM,3182,Organizational Communication Simulation,"A course designed to help students develop and apply organizational communication skills that are helpful in a variety of professional settings, including human resources, interviewing, group decision-making, and written and oral reporting.",3
COM,3200,Internet Communication,"Practical and theoretical introduction to the Internet as a communication medium. Training in effective online communication, including human-computer interaction and web production. Discussion of social, political, and personal impact of online interactions via networks from a variety of theoretical, historical, and critical perspectives.",3
COM,3210,Copy Editing,"A course designed to introduce students to the theory and practice of editing copy, editing photos and informational graphics, and writing headlines for print and online journalism.",3
COM,3220,Professional Ethics in Public Relations,A study of public relations ethics through the analysis of real-world cases in a variety of professional and organizational contexts.,3
COM,3245,Introduction to Promotional Video,"This course is intended to provide a foundation in the principles, technologies, techniques and creative concepts involved in the creation of promotional advertising videos for a variety of media platforms. Through the production of diverse video projects students will practice the fundamental production skills needed to produce and edit effective video and audio to promote clearly defined messaging strategies.",3
COM,3300,Media in Society,"This course offers a survey of the social impacts of various forms of media. Study includes issues such as media’s impact on individual behavior, media’s role in organizing social relationships, and the sharing of meaning through media, technological culture, consumer culture, and popular culture. This course prepares students to better understand the central role media plays in organizing their lives and to enhance their own uses of media in personal, social, and professional contexts.",3
COM,3301,Writing for Electronic Media,Formats and techniques of writing for the electronic media.,3
COM,3302,Copywriting for Advertising,"Development of skills and techniques of advertising copywriting applying to all media. Goals are to improve creative writing skills, learn the basics of advertising copy and layout and the analysis of advertisements.",3
COM,3304,Electronic Media Performance Techniques,"A study and application of specific performance techniques (i.e., voice, body, manuscript usage, personality) related to the electronic media/broadcast industries. Students will experience a variety of radio and TV performance and announcing situations directed towards improving their electronic media performance skills.",3
COM,3305,Communication Law,"A study of legal sanctions and constitutional freedoms affecting the mass media, various communication technologies and human communication.",3
COM,3306,Advanced Audio Production,"Advanced Audio Production is an extension of the material covered in Audio Production. The course is designed to further electronic media/broadcast students’ knowledge of the terminology, production procedures, and equipment used in all electronic media production including radio, Internet, and audio for video.",3
COM,3311,Conflict Management,"A course that examines positive conflict management processes, including active listening and communication skills, principled negotiation, mediation, and nonviolent direct action.",3
COM,3312,Crisis Communication,A study of the role of crisis communication in contemporary organizations. Emphasis is on critical assessment of organizational readiness for a crisis and advanced crisis preparation. Students prepare a crisis assessment and crisis management plan for an actual organization/business.,3
COM,3313,Professional Ethics in Electronic Media,"Study methods of applying logical concepts and techniques as well as theories, principles and techniques relating to electronic media. The course will also demonstrate the importance of ethics and of social responsibility to the student’s personal and professional life. It will scrutinize and evaluate fundamental issues and problems relating to electronic media and examine the social responsibility for electronic media communicators.",3
COM,3314,Advanced Media Analysis,"An examination of media content through a mass communication perspective. The course will define the field of media analysis, examine the importance of message production, and discuss the dilemmas that electronic media professionals face in producing content.",3
COM,3315,Political Communication,"Examines the theoretical and practical aspects of political communication. Topics covered include political debates, speechwriting, political cartoons, communication strategies during and after campaigns, and the role of the media in political communication.",3
COM,3316,TV Studio Production,"TV Studio Production provides students with the opportunity to gain experience writing, producing and shooting multi-camera productions within a studio setting. Students gain practical experience working in the control room using the switcher, audio board, remote cameras and teleprompter. Students also learn to work with crew and talent. Students also write, produce and edit field packages. Lecture two hours, laboratory two hours.",3
COM,3317,Social Media Strategies,"The study of how to design, execute, and evaluate research-based social media campaigns.",3
COM,3319,TV News and Sports Reporting,"A course designed to allow students to research, write, produce and edit a number of electronic media/broadcasting projects suitable for TV news and sports. Topics covered include news and sport videography and audio, and field production and editing.",3
COM,3320,Audio-Video Production,"A course for non-electronic-media/broadcasting majors. Introduces students to the terminology, equipment, operating procedures and conceptual strategies used in the production of material for audio and video. Includes audio and video laboratories.",3
COM,3333,Electronic Media Programming,"This course surveys the various methods for program decision-making at all levels of radio, television, and new electronic media. Also covered: the duties of the program director, music director, and on-air staff; how advertising, news, and entertainment fit together in programming strategy; the future convergence of media technologies and their effect on future programming; program criticism, effects, and ratings; and future career opportunities in the programming segment of these industries.",3
COM,3340,Journalism Ethics and a Free Society,This course is an exploration of ethical dilemmas that journalists and other media professionals encounter and the impact that these situations have on their audiences. The examination of case studies provides a way to evaluate and integrate ethical foundations into professional situations.,3
COM,3341,Communication Ethics,"Study methods of applying logical concepts and techniques as well as ethical theories, principles, and techniques to professional communication fields. The course will also demonstrate the importance of ethics and of communication ethics to the student’s personal and professional life. It will scrutinize and evaluate the fundamental issues and problems in communication ethics and examine the social responsibility of professional communicators.",3
COM,3416,Camera and Lighting,"This course is designed to expand on skills learned in COM 2416-Video Production regarding visual image acquisition. It concentrates on advanced camera operation, lighting techniques, and crewing for video productions. It prepares students for the Production Capstone course and for work on professional crews in the camera, grip, or electric departments. Areas covered include set protocols, advanced camera functions, video file properties, light and lenses, advanced lighting techniques, and camera support techniques.",3
COM,3418,Social Media Storytelling,This course provides students the opportunity to improve their writing and acquire storytelling skills. Students will learn to develop effective organizational narratives through written content and the use of audio and visuals appropriate for common social and digital media platforms. Students will also develop a portfolio of writing samples.,3
COM,3428,Advertising Research,"This course is designed to help future advertising practitioners to understand the uses and applications of research in various advertising situations. In addition to secondary research, this course includes both qualitative and quantitative research methods of primary research commonly used by advertising industry to gain consumer insights, to select the profitable target audience, to develop creative strategies, to test advertising copies and finished ads, and to assess the success of advertising campaigns.",3
COM,3430,Professional Ethics in Advertising,"An examination of ethical practices in advertising through case study analyses of agency, industry, and affected consumer groups.",3
COM,3440,Second Story Media,Student-run communications agency that helps students apply themselves in a hands-on manner in an experiential class setting to gain real-world practices.,3
COM,3500,Independent Study,,1-4
COM,3520,Instructional Assistance,A supervised experience in the instructional process on the university level through direct participation in a classroom situation.,1
COM,3530,3543 - Selected Topics,An opportunity to study a special topic or combination of topics not otherwise provided for in the communication curriculum. Course numbers COM 3530-3543 are reserved for variable credit courses treating topics relating to any of the department’s degree options.,1-4
COM,3544,Selected Topics in Advertising - Business,An opportunity to study a special topic or combination of topics not otherwise provided for in the communication curriculum. COM 3544 is reserved for 3 credit hour selected topics courses related to the business of advertising.,3
COM,3545,Selected Topics in Advertising - Creative,An opportunity to study a special topic or combination of topics not otherwise provided for in the communication curriculum. COM 3545 is reserved for 3 credit hour selected topics courses related to the creative element of advertising.,3
COM,3546,Selected Topics in Professional Contexts,An opportunity to study a special topic or combination of topics not otherwise provided for in the communication curriculum. COM 3546 is reserved for 3 credit hour selected topics courses related to professional contexts.,3
COM,3547,Selected Topics in Public Contexts,An opportunity to study a special topic or combination of topics not otherwise provided for in the communication curriculum. COM 3547 is reserved for 3 credit hour selected topics courses related to public contexts.,3
COM,3548,Selected Topics in Applications,An opportunity to study a special topic or combination of topics not otherwise provided for in the communication curriculum. COM 3548 is reserved for 3 credit hour selected topics courses related to applications.,3
COM,3549,Selected Topics in Analyses,An opportunity to study a special topic or combination of topics not otherwise provided for in the communication curriculum. COM 3549 is reserved for 3 credit hour selected topics courses related to analyses.,3
COM,3560,TV Scriptwriting,"This course introduces students to the basics of quality storytelling in the form of scriptwriting. Emphasis is on Aristotle’s six fundamentals of storytelling: plot, character, theme, dialogue, music and spectacle.",3
COM,3570,Video Editing,"This course explores the technical skills and stylistic choices of professional video editors. It includes: a survey of editing techniques in film through history; an overview of common postproduction workflows; instruction in professional post-production applications, including techniques for picture edit, color correction, effects, animations, and titles.",3
COM,3600,In-Depth Reporting & Writing,"Study of the principles, processes, and techniques of in-depth reporting for news media. This course balances practical training with immersive reporting exercises, reading discussions, and workshops to help students develop and refine their writing.",3
COM,3618,Public Relations Writing,"Public relations writing builds student skills in developing and preparing collateral public relations materials. This course integrates and builds upon the journalism, public address, core communication, and public relations courses. It sets the foundation for independent action in the advanced public relations courses and for successful experiences in an internship environment.",3
COM,3620,Principles of Fund Raising,An introduction to the basic principles and methods of contemporary fund raising in the United States. Students are introduced to the skills of researching constituencies and developing a fund raising plan for a real organization.,3
COM,3640,Media Planning,"This course is designed to teach the basics of advertising media planning: the essential terms and concepts in media planning, how to identify the media problems and opportunities of a client, and how to develop effective strategies for solving these problems and making the best use of these opportunities. Each student will produce a ready-to-submit media plan for a client.",3
COM,3650,Selected Topics in Mass Media,An opportunity to study a special topic or combination of topics not otherwise provided for in the communication curriculum. COM 3650 is reserved for 3 credit hour selected topics courses related to critical cultural issues in mass media.,3
COM,3680,Literary Journalism,A study of journalism as literature and the practice of writing nonfiction journalistic prose employing the narrative aims and techniques of fiction.,3
COM,3830,Advanced Creative Advertising,"This advanced creative advertising class is intended to build upon the core competencies acquired in COM 3015. It introduces students to multiple perspectives and approaches in developing strong and unique creative concepts that accurately deliver on well defined strategies. This course is intended to further develop the critical, intellectual and practical skills necessary for the analysis, evaluation and creation of effective advertising messages in today’s multimedia visual environment. These abilities along with the technical skills to translate these concepts into effective visual executions is the job of the art director.",3
COM,3860,Client Development and Services,"This course is designed to introduce students to the process of engaging and securing new clients in a competitive marketplace, then servicing client needs to ensure a successful relationship. Students will gain a greater understanding in how to identify prospective clients, define complementary attributes between client and agency, then demonstrate value to client through professional storytelling, negotiation and communication. Students will gain an understanding of client services through account management and in-field activities such as client entertainment, trade shows and experiential events.",3
COM,3900,Internship,"A designed work experience program in either advertising, communication studies, electronic media/broadcasting, journalism, or public relations.",3-12
COM,3901,Communication Practicum,"Students will produce a professional communication product with the approval and supervision of a communication faculty member to include research, analysis, design, and production.",1-3
COM,3910,International Experience,This course is designed to assist students in the department’s international internship program as they prepare themselves for the experience of completing an international internship.,3
COM,3915,Career Connections,"A course designed to allow junior- and senior-level communication majors to refine their understanding of, and preparation for, varied fields of communication. In order to make a better transition from the classroom to the workplace, students will interact with communication professionals who will speak about career opportunities, professional activities and current industry trends.",2
COM,3928,Communication Research Methods,This course is designed to increase students’ knowledge of the foundations and types of research methods commonly employed in communication research. Both quantitative and qualitative methods will be taught. Students should gain a fuller understanding of the relationship between theory and research. They should also gain practical experience in employing at least one of the research methods in an original research project leading to a written report suitable for submission to an academic conference.,3
COM,3929,Rhetorical Theory and Criticism,A study of classical and contemporary theories of rhetoric and rhetorical methods of cultural critique. Application of rhetorical theory to rhetorical events and situations.,3
COM,3936,Consumer Insights,"The course is designed to help students understand the psychology of persuasion and consumer behavior theories as they relate to marketing communication and advertising. The course will provide students with an overview of the key psychological concepts and theories in understanding consumer decisions and behaviors, as well as the implications of these theories in advertising and marketing practices. Students will explore how perceptions, learning, memory, emotions, attitude, personality, situational factors, groups, and social class influence consumption behavior; how purchase decisions are made; and how powerful cultural and subcultural influences are on consumers. In sum, the course provides critical foundation knowledge for developing advertising, branding and marketing strategies. It also helps students become informative and insightful researchers and practitioners.",3
COM,4040,International Advertising,The course provides an overview of the ways globalization and multi-media conglomerates have changed the advertising industry.,3
COM,4101,Speechwriting,"Theory and practice of writing the spoken word. Study of speech composition and the role of speech-making in various professional settings. Special emphasis upon style, organization, support, and criticism of the public speech with a primary emphasis upon manuscript speaking.",3
COM,4152,Advanced Organizational Communication,"Application of communication methodology to the analysis of organizational communication processes. Students study methods of communication consulting, facilitation, and training.",3
COM,4220,Photojournalism,"An exploration of journalism as visual storytelling and the practice of using still, audio, and video techniques to capture and employ defining moments in the creation of news and feature narratives.",3
COM,4240,Data Journalism,"This course focuses on the ways that quantitative reasoning can be applied to data that professional news reporters use in a variety of media presentation formats. Students will learn how to collect and interpret quantitative data, apply mathematical analysis in a news reporting context and use numerical reasoning to organize and present a story to general news audiences.",3
COM,4300,Media Sales,"This course is a senior level course that includes a study of the techniques used by the mass media to sell space and time to advertisers. Also included is a study of personal selling; company, product, and audience research; media-audience matches; and media sales presentations. Also examined are the strengths and weaknesses of a variety of print, radio, television and online advertising techniques and strategies.",3
COM,4310,Advanced Design for Digital Storytelling,"This course reflects the need for communicators to be proficient in both print and online forms of storytelling and emphasizes the theory, principles, and practice of print and interactive storytelling design. Students learn to create meaningful publications as well as engaging and informative interactive experiences through new technologies. Projects and applications integrate all media forms: text, images, audio, video, graphics and data.",3
COM,4315,Electronic Media Management,"This course studies factors related to the management of broadcast and cable television, and radio stations, including finances, human resources, programming, sales, regulation, and promotion and marketing.",3
COM,4317,Electronic Media Regulations,"Governmental regulation of broadcasting and electronic media, detailing the FCC and other agencies’ relationships; emphasizing early broadcast legal history, administrative rulemaking, programming, licensing, renewals, content controls, ownership, fairness, political advertising, copyright and emerging media.",3
COM,4318,Public Relations Campaigns,"An advanced course providing students with hands-on experience in researching, planning, implementing and evaluating public relations campaigns for various types of organizations. As part of this course, each student will also construct a professional portfolio.",3
COM,4400,Advertising Campaigns,"This course is designed to teach the student how to prepare an entire advertising campaign from start to finish. As such, it will incorporate knowledge gained from the variety of courses the student has had previously.",3
COM,4402,Advanced Advertising Campaigns,"A course designed to prepare students to apply the elements and conduct the strategic development of an advertising campaign for a national student competition. The course will cover advanced advertising campaign principles and techniques, and it will provide opportunities to implement both in an agency-like setting.",3
COM,4416,Electronic Media Production Capstone,"Students will collaborate with faculty and other students to plan, research, write, shoot and edit materials to create fiction or nonfiction video productions intended for distribution. Assignments will be project-based in support of these productions.",3
COM,4420,Multimedia Storytelling,"This course examines the ways technology has transformed traditional mass media, while preparing students to work with multiple media as they produce online narratives. Students will create multimedia content to publish to the Web.",3
COM,4425,Task-Oriented Group Facilitation Methods,"Develop leadership and group facilitation skills through hands-on instruction that demonstrates how to conduct focused conversations, lead workshops, and accomplish action planning. Application opportunities using these skills include community development, organizational planning, education, government, and other occasions when people want to actively participate in the creation of their own futures.",3
COM,4430,Advanced Public Relations Campaigns,"This course provides students the opportunity to develop a public relations campaign for a national student competition. Students will apply advanced techniques to research, plan, execute, and evaluate their campaigns. Students will have the opportunity to submit their work to the national student competition.",3
COM,4432,Communication Studies Seminar,"This capstone course invites students to draw connections between their previous coursework and major works in the discipline, through discussions, presentations, and writing. Students will also construct a portfolio.",3
COM,4440,Electronic Media News Capstone,"Students will collaborate with faculty and other students to identify, research, shoot, write and edit materials to create news stories. Assignments will be in the form of news packages intended for use in a regular TV news program.",3
COM,4511,Senior Honors Thesis,Independent study and research. Honors thesis directed by a member of the Department of Communication.,1-3
COM,4580,Electronic Media Senior Seminar,"This course provides students the opportunity to draw connections between their major coursework and their professional careers through discussions, guest speakers, practical applications, and research. Students will consider the major changes in the electronic media/broadcasting industries while working to prepare themselves for current as well as future careers.",3
COM,4610,Mobile Journalism,"This course is an advanced news reporting course in the journalism sequence. Focus is on reporting for specific news beats to produce stories of publishable quality. Emphasis is also placed on analysis of advanced forms of news reporting beyond breaking news, including features and in-depth stories.",3
COM,4650,Selected Topics in Digital Media,An opportunity to study a special topic or combination of topics not otherwise provided for in the communication curriculum. COM 4650 is reserved for 3 credit hour selected topics courses related to emerging digital media.,3
CSD,2259,Communication Disorders,"A survey of speech, language, and hearing disorders in children and adults.",3
CSD,2260,Anatomy and Physiology of the Speech and Hearing Mechanism,"A review of the structure and function of systems involved in vocalization, speech, and hearing.",3
CSD,2300,Professional Issues in CSD,"An introduction to professional topics in speech-language pathology and audiology, and an overview of student responsibilities and opportunities within the CSD undergraduate program.",1
CSD,2361,Phonetics,"An examination of phonetics in relation to its linguistic, anatomical, and acoustic origins with an emphasis on International Phonetic Alphabet (IPA) transcription skills.",3
CSD,2366,Communication Development,"An overview of communication development in children including typical and atypical language acquisition and the physiological, cognitive, and social aspects of communication.",3
CSD,2500,Independent Study,,1-4
CSD,2766,Neuroanatomy and Physiology,"An introduction to the central and peripheral nervous systems with emphasis on the neurological mechanisms underlying normal and disordered speech, language, swallowing, and cognition.",3
CSD,3084,Acoustics and Speech Science,"A review of the acoustics of sound and the physiological and perceptual aspects of sound as related to normal and pathological speech communication, including an introduction to instrumentation and measurement procedures.",3
CSD,3164,Audiology,"A review of the anatomy and physiology of the auditory system, audiologic assessment and acquired disorders of the auditory system.",3
CSD,3201,Language Disorders in Children,An overview of receptive/expressive language disorders and the cognitive/social aspects of communication in children.,3
CSD,3202,Speech Disorders Across the Lifespan,"An overview of speech disorders affecting articulation, fluency, voice, resonance, and swallowing.",3
CSD,3320,Cultural and Linguistic Diversity,An introduction to factors that influence communication patterns among culturally and linguistically diverse populations.,3
CSD,3340,Syndromes and Conditions with Associated Communication Disorders,"An overview of genetic syndromes and medical conditions that are associated with speech, language and hearing impairments.",3
CSD,3350,Evaluating Research in Communication Sciences and Disorders,"An introduction to the principles and practices of research in communication sciences and disorders, including experimental design, statistical methods, and application to clinical populations and evidence-based practice.",3
CSD,3368,American Sign Language I,"An introduction to the content, form, and use of American Sign Language. A special emphasis is placed on the characteristics of Deaf culture and the various methods of communicating with individuals who are deaf or hard of hearing.",3
CSD,3370,American Sign Language II,"Advanced study of the content, form, and use of American Sign Language. Students will gain experience using ASL in narrative and conversational contexts, thereby expanding their appreciation of Deaf culture.",3
CSD,3372,American Sign Language III,This course is the continuation of American Sign Language II focusing on the expansion of American Sign Language in the cultural context. Emphasis is placed on the reinforcement and continued development of expressive and receptive skills through authentic materials.,3
CSD,3374,American Sign Language IV,This course is the continuation of American Sign Language III focusing on the continued expansion of American Sign Language in the cultural context. Emphasis is placed on the continued reinforcement and development of expressive and receptive skills through authentic materials.,3
CSD,3380,Deaf Culture,"An examination of the historical, educational, linguistic, and social aspects of Deaf culture and the impact on Deaf identity.",3
CSD,3500,Independent Study,,1-4
CSD,3520,Instructional Assistance,A supervised experience in the instructional process on the university level through direct participation in a classroom situation.,1
CSD,3530,3549 - Selected Topics,,1-4
CSD,3660,Audiology Seminar and Practicum,This course will allow the student to explore audiologic evaluation through practicum experience and to become familiar with advanced testing procedures. It is designed for the student who has excelled in CSD 3164 - Audiology (3)  and wishes to pursue more information in this area. The student must submit an application and be approved by the instructor to take this course.,1
CSD,4100,Introduction to Clinical Processes and Procedures,An introduction to clinical practice in Speech Pathology and Audiology including up to 25 supervised observation hours in selected clinical settings.,3
CSD,4162,Structural Analysis of Language,"A study of language content, form, and usage with an emphasis on the application of descriptive taxonomies for language sampling and analysis.",3
CSD,4510,Senior Honors Thesis,Independent study and research for a honors thesis in Communication Sciences and Disorders (CSD). All honors students complete a total of 3 thesis credits to earn CSD Honors; these credits may occur over multiple semesters.  Directed and graded by a student’s thesis committee director in the CSD department.  Enrollment is by invitation or application only.,1-3
CSD,4530,4549 - Selected Topics,,1-4
CSD,4662,Management of Hearing Disorders,"A review of congenital and genetic hearing disorders, hearing devices, early intervention and aural habilitation in children, and aural rehabilitation in adults and older adults.",3
CSD,4845,Theatre and Therapy,"An interprofessional, activity-based experience that uses theatre as a context for therapeutic intervention for individuals with developmental disabilities and moderate to severe communication impairments. Students will have the opportunity to obtain supervised clinical observation hours.",3
CSD,4850,Language and Cognitive Disorders in Adults,"An overview of acquired neurogenic language disorders including aphasia, right hemisphere disorder, traumatic brain injury, and dementia, with an emphasis on etiology, characteristics, neurological bases and clinical management",3
PLN,2410,"Town, City and Regional Planning","Towns and cities grow and change, ideally in an equitable and sustainable manner. Planners rely on a variety of tools that help to guide the growth of rural and urban areas, touching upon social, economic and environmental systems and problems. This course introduces students to the world of planning - its history, what works, what doesn’t, and how people get involved in this process.",3
PLN,2500,Independent Study,,1-4
PLN,2812,Geospatial Technology in a Changing World,"An introduction to geospatial data and technology used by geographers, planners and others. This includes the collection, management and output of geospatial data. Topics include computing fundamentals, Geographic Information Systems (GIS), Global Positioning System (GPS), remote sensing, and database management systems. Lecture two hours, laboratory two hours.",3
PLN,3040,What is Community?,"This course highlights how people share a common interest, background, or purpose that gives them a sense of cohesion. Major topics explored include poverty across socio-economic groups, environmental justice and equity, physical systems (utilities, transport, other infrastructure), economic revitalization, and participatory community planning.",3
PLN,3432,Planning Techniques,"The course helps students develop skills and knowledge of planning methods and learn techniques that planners use to accomplish tasks in the planning office. The class combines formal lectures, discussion, and in-class exercises.",4
PLN,3500,Independent Study,,1-4
PLN,3510,Advanced Honors Seminar in Planning,"Seminar on selected community and regional planning topics. Enrollment by invitation of the Department or by application. For enrollees, this course may substitute for the appropriate Planning elective.",3
PLN,3520,Instructional Assistance,A supervised experience in the instructional process on the university level through direct participation in a classroom situation.,1
PLN,3530,3549 - Selected Topics,,1-4
PLN,3730,"Land, Property, and Law","We will explore traditional and not-so-traditional land use regulation tools and examine how they are used to organize, control, and foster growth and creativity in the built environment of the United States. Students will discuss and research topics such as property rights, due process and equal protection, the First Amendment, and affordable housing. This course will introduce the constitutional framework that shapes land use regulation.",3
PLN,3800,Introduction to Quantitative Methods,"This course will introduce students to a suite of statistical methods used to address research and applied problems in the fields of geography and planning. The course will include discussions of geographic data, sampling techniques, probability theory, parametric/ non-parametric techniques in hypothesis testing, and introductory spatial statistics. Classes will address conceptual and theoretical aspects of each technique in conjunction with manual and software-based analyses of geographic data.",3
PLN,4030,Planning for Climate Resilience,"City planners have many tools to address the impacts of local growth, environmental protection, economics and social equity. What is currently lacking are plans that account for climate change and build the capacity for resilience and adaptation in the face of the negative outcomes. In this course, we will gain a better understanding of climate change and the ways in which the cultural and political discourse influences our capability to address the climate change challenge at the local, regional, national and international level.",3
PLN,4240,Sustainable Transportation Planning,"Not all transportation is cars. In order to create a sustainable transportation system planners understand how a transportation network that supports transit, biking, walking and cars in an interconnected and equitable manner can connect the built environment. Major topics include transportation policy and planning, environmental implications of transportation decisions, equity, technology, non-motorized and group travel modes, active living and active travel, public health and strong communities, and emerging models.",3
PLN,4425,Task-Oriented Group Facilitation Methods,"Develop leadership and group facilitation skills through hands-on instruction that demonstrates how to conduct focused conversations, lead workshops, and accomplish action planning. Application opportunities using these skills include community development, organizational planning, education, government, and other occasions when people want to actively participate in the creation of their own futures.",3
PLN,4450,Inside the Sustainable City,"This course explores the systems, planning practices, and individuals and organizations across sectors that make towns and cities work. The course considers examples-successes, failures and the more common mixed outcomes-of planning for sustainable communities, characterized by healthy environments, social justice and equity, and strong diverse economies. Major themes include poverty and wealth, production and consumption, conservation and ecosystem services, technology harnessed for sustainability, and individual and collective action. Systems studied include water, energy, waste, transportation, agriculture, construction and design, finance, education, governance, and more.",3
PLN,4460,Environmental Policy and Planning,"This course familiarizes students with the philosophical, legal, and institutional foundations of environmental policy and planning in the United States. Students will have the opportunity to study policies and planning tools for federal, state, and local agencies.",3
PLN,4510,Senior Honors Thesis,"Independent study and research for the honors thesis; directed by a member of the planning faculty, supported by one additional faculty member who may be external to the department.",1-4
PLN,4530,4549 - Selected Topics,,3
PLN,4700,Planners in Action,"Students in this advanced community-engaged research workshop will apply planning knowledge and skills to a client-identified problem or need. Students will identify required resources, write a scope of work with a time-line, collect and analyze data, and produce a report with findings and recommendations, along with a presentation for the client, and other products as needed. Students will interact with the client at several points during the semester and generate deliverables targeted for professional planning and general public audiences. Open to planning majors; others by permission of the instructor.",3
PLN,4830,Professional Development in Geography and Planning,"This course provides a capstone experience for graduating planning majors, with a balance between academic and practical experiences. Topics covered include: resume design and cover letter writing, portfolio development, preparation for job interviews, internship experiences, graduate school opportunities, and what it means to be a planner.",3
